_RAJ2000|_DEJ2000|KIC|2MASS|Teff|FeH|AFe|Numax|Dnu|ES|Fdnu|M(cor)|s_M(cor)|R(cor)|s_R(cor)|logg(seis)|s_logg(seis)|Rho|s_Rho|LogAge|Av|Notes|AP-1|KCat|Sloan|Simbad|_RA|_DE
292.5108333|+37.2551944| 1726245|19300260+3715187|4816.9| 0.136| 0.001| 47.322| 4.891|RC      | 0.9986| 1.627| 0.071|10.760| 0.020| 2.586| 0.009| 1.84e-03| 0.008| 3.274| 0.415|                |  0|KCat|Sloan|Simbad|292.51083|+37.25519
292.5213750|+37.2963889| 1726291|19300513+3717470|4817.5|-0.341| 0.189|149.522|12.890|RGB     | 1.0216| 0.972| 0.032| 4.678| 0.011| 3.086| 0.007| 1.34e-02| 0.007| 3.977| 0.309|                |  0|KCat|Sloan|Simbad|292.52137|+37.29639
290.4821667|+37.3724444| 1864183|19215572+3722208|4590.8| 0.200| 0.008| 54.094| 5.517|RGB     | 1.0360| 1.206| 0.040| 8.770| 0.015| 2.633| 0.007| 2.52e-03| 0.007| 3.808| 0.240|                |  1|KCat|Sloan|Simbad|290.48217|+37.37244
290.6366667|+37.3455833| 1864855|19223280+3720441|4895.2| 0.002|-0.003|125.044|10.446|RGB     | 1.0226| 1.345| 0.034| 5.993| 0.012| 3.011| 0.007| 8.81e-03| 0.007| 3.567| 0.307|                |  1|KCat|Sloan|Simbad|290.63667|+37.34558
290.7330833|+37.3773889| 1865262|19225594+3722386|4761.8|-0.254| 0.085| 53.084| 5.586|RGB     | 1.0349| 1.150| 0.040| 8.566| 0.015| 2.633| 0.007| 2.58e-03| 0.007| 3.738| 0.392|                |  0|KCat|Sloan|Simbad|290.73308|+37.37739
290.8125000|+37.3990556| 1865595|19231500+3723566|4359.9|-0.073| 0.034| 12.316| 1.804|RGB     | 1.0440| 1.119| 0.044|17.928| 0.016| 1.980| 0.007| 2.74e-04| 0.008| 3.846| 0.341|                |  0|KCat|Sloan|Simbad|290.81250|+37.39906
290.8477500|+37.3761667| 1865747|19232346+3722342|4756.0| 0.041|-0.008| 63.214| 6.121|RGB     | 1.0319| 1.361| 0.039| 8.542| 0.014| 2.709| 0.007| 3.08e-03| 0.007| 3.584| 0.277|                |  0|KCat|Sloan|Simbad|290.84775|+37.37617
291.3308333|+37.3111667| 1867706|19251940+3718402|4847.1| 0.177|-0.008|105.091| 8.750|RGB     | 1.0240| 1.589| 0.036| 7.123| 0.013| 2.934| 0.007| 6.20e-03| 0.007| 3.371| 0.625|                |  0|KCat|Sloan|Simbad|291.33083|+37.31117
291.4161250|+37.3672778| 1868101|19253987+3722022|4608.7| 0.322| 0.005| 31.807| 3.816|RC      | 1.0092| 1.197| 0.078|11.379| 0.023| 2.404| 0.010| 1.14e-03| 0.008| 3.681| 0.769|                |  0|KCat|Sloan|Simbad|291.41612|+37.36728
291.8805000|+37.3474722| 1870196|19273132+3720509|4878.1| 0.027| 0.019|189.075|14.990|RGB     | 1.0186| 1.108| 0.029| 4.427| 0.010| 3.190| 0.007| 1.80e-02| 0.006| 3.890| 0.328|                |  0|KCat|Sloan|Simbad|291.88050|+37.34747
291.9231250|+37.3351667| 1870433|19274155+3720066|5025.7| 0.027|-0.002|221.396|16.150|RGB     | 1.0169| 1.390| 0.028| 4.549| 0.009| 3.265| 0.007| 2.08e-02| 0.006| 3.539| 0.367|                |  0|KCat|Sloan|Simbad|291.92312|+37.33517
292.0995417|+37.3899722| 1871314|19282389+3723239|4552.7| 0.353| 0.033| 58.402| 5.696|RGB     | 1.0345| 1.327| 0.040| 8.870| 0.015| 2.665| 0.007| 2.68e-03| 0.007| 3.701| 0.410|                |  0|KCat|Sloan|Simbad|292.09954|+37.38997
294.7365417|+41.8581111| 6452242|19385677+4151292|4002.4| 0.039| 0.078|       |      |REJECT  |       |      |      |      |      |      |      |         |      |      |      |No Seis         |  0|KCat|Sloan|Simbad|294.73654|+41.85811
292.2333333|+37.3886667| 1871927|19285600+3723192|4650.7| 0.199| 0.020| 65.807| 6.437|RGB     | 1.0347| 1.201| 0.039| 7.906| 0.014| 2.721| 0.007| 3.43e-03| 0.007| 3.815| 0.422|                |  0|KCat|Sloan|Simbad|292.23333|+37.38867
292.2872500|+37.3174444| 1872166|19290894+3719028|4984.3| 0.086|-0.021| 77.082| 6.709|RC      | 0.9994| 2.085| 0.057| 9.461| 0.013| 2.805| 0.008| 3.47e-03| 0.008| 3.047| 0.378|                |  0|KCat|Sloan|Simbad|292.28725|+37.31744
292.3491250|+37.3043333| 1872469|19292379+3718156|4657.1| 0.145| 0.030| 56.645| 5.704|RGB     | 1.0348| 1.244| 0.040| 8.672| 0.015| 2.657| 0.007| 2.69e-03| 0.007| 3.751| 0.470|                |  0|KCat|Sloan|Simbad|292.34912|+37.30433
292.3576667|+37.3139722| 1872517|19292584+3718503|4556.6|-0.284| 0.169| 25.595| 3.271|RGB     | 1.0430| 0.995| 0.042|11.601| 0.016| 2.307| 0.007| 8.99e-04| 0.008| 3.960| 0.354|                |  0|KCat|Sloan|Simbad|292.35767|+37.31397
292.5796250|+37.3427500| 1873510|19301911+3720339|4999.6|-0.643| 0.197| 30.150| 3.828|RC      | 1.0000| 1.180| 0.079|11.371| 0.024| 2.398| 0.010| 1.13e-03| 0.008| 3.506| 0.443|                |  0|KCat|Sloan|Simbad|292.57962|+37.34275
286.0984583|+37.4846111| 1995358|19042363+3729046|4868.1|-0.295| 0.049| 24.016| 3.271|RC      | 1.0121| 1.023| 0.082|11.946| 0.025| 2.294| 0.010| 8.46e-04| 0.008| 3.710| 0.317|                |  0|KCat|Sloan|Simbad|286.09846|+37.48461
286.2502500|+37.4823056| 1995859|19050006+3728563|4932.1|-0.107| 0.017| 45.892| 4.771|RC      | 0.9957| 1.719| 0.072|11.165| 0.020| 2.578| 0.009| 1.74e-03| 0.008| 3.178| 0.266|                |  0|KCat|Sloan|Simbad|286.25025|+37.48231
